amp,mun_name,New name,logo,Facebook ,Website,amp_name,cwt_name,area,area_name,cwt,mun,mun_tao_n,type,muni_code,reg,reg_name,tam,tam_name,tao,tao_code,tao_name,objectid,SHAPE__Len,SHAPE__Are,globalid,Column 1
9,กรุงเทพมหานคร,,https://upload.wikimedia.org/wikipedia/commons/7/7b/Seal_of_Bangkok_Metro_Authority.png,https://www.facebook.com/bangkokbma,https://www.bangkok.go.th/,พระโขนง,กรุงเทพมหานคร,1,ในเขตเทศบาล,10,0,กรุงเทพมหานคร,,101000,1,กรุงเทพมหานคร,5,บางจาก,,,,1431,275466.8592,1676093199,{0195C650-4BC7-4D5C-9EC0-044C2E783ABC},
1,เทศบาลตำบล ก.ม. 5,,https://lh5.googleusercontent.com/proxy/xe6fRSMu6CrtVEENRb8aQ0-wylKQ--N67kthZvrTYJpMW9pT-YmzmCjhW7OERazAxon7VUQtLU-zxsWUeQVSBZX6Q2Sth1_k,https://www.facebook.com/profile.php?id=100069231638919,http://www.kormorha.go.th/,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,1,ในเขตเทศบาล,77,997,เทศบาลตำบล ก.ม. 5,เทศบาลตำบล,771997,2,กลาง,5,อ่าวน้อย,,,,466,21235.95973,15880464.72,{B4A13078-F482-411C-96F0-3B7F215C9C40},
12,เทศบาลตำบลกกกุง,,https://kokkung.go.th/UserFiles/Image/2022/tsb.gif,https://www.facebook.com/Kokkungmunicipality,https://www.kokkung.go.th/index.php,เมืองสรวง,ร้อยเอ็ด,1,ในเขตเทศบาล,45,957,เทศบาลตำบลกกกุง,เทศบาลตำบล,451957,6,ตะวันออกเฉียงเหนือ,4,กกกุง,,,,2061,24963.02881,29377327.48,{1ED9693D-B86D-4C60-9BEC-AD7D37949053},
1,เทศบาลตำบลกกโก,,https://kokko.go.th/wp-content/uploads/2023/02/logo.png,https://www.facebook.com/profile.php?id=100051715039642,https://kokko.go.th/,เมืองลพบุรี,ลพบุรี,1,ในเขตเทศบาล,16,979,เทศบาลตำบลกกโก,เทศบาลตำบล,161979,2,กลาง,3,กกโก,,,,1709,20322.16823,16464175.5,{0441874C-D43C-4564-BBEC-353A04A37549},
4,เทศบาลตำบลกกตูม,,https://www.kktum.go.th/index/add_file/vCZl8beTue60620.png,https://www.facebook.com/profile.php?id=100083305778728,https://www.kktum.go.th/index/,ดงหลวง,มุกดาหาร,1,ในเขตเทศบาล,49,979,เทศบาลตำบลกกตูม,เทศบาลตำบล,491979,6,ตะวันออกเฉียงเหนือ,3,กกตูม,,,,1458,106033.3928,420264299.9,{A6BD1142-FA9E-4407-8206-4D7DCA60685B},
4,เทศบาลตำบลกงไกรลาศ,,https://scontent.fcnx3-1.fna.fbcdn.net/v/t39.30808-6/332743732_1226153808332728_578844657571457867_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=o0816ZYps94Q7kNvgEhYvY_&_nc_oc=Adnt3u7Cui8P5T-V_rxDC-jAy0aGx6Jw0XFrq3Sf-gsvijr7antZR3FzqJ2Beze4fVc&_nc_zt=23&_nc_ht=scontent.fcnx3-1.fna&_nc_gid=tEn1tG99neWTjBha2uzqvw&oh=00_AYH9TpKKvr10H8QeMoe8OCjY2Bd64CgCh4NOBsQ5U1CIeA&oe=67EED7D9,https://www.facebook.com/PRKongkrailas,https://www.kongkrailas.go.th/home,กงไกรลาศ,สุโขทัย,1,ในเขตเทศบาล,64,992,เทศบาลตำบลกงไกรลาศ,เทศบาลตำบล,641992,7,เหนือ,1,กง,,,,382,15683.44066,9289944.044,{409FB165-1F17-4F05-969B-DAD7B76805BC},
4,เทศบาลตำบลกงพานพันดอน,,https://scontent.fcnx3-1.fna.fbcdn.net/v/t39.30808-6/272988127_305944021570438_1647352064202221296_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=r_cZIO5oi6UQ7kNvgH9l_U5&_nc_oc=Adn0p79b2RuItbFFHYMYlNxGZuqAXXqDIpfXMaSRV-R_kHiBEDVlQ7iw90OPO_KlQ0Q&_nc_zt=23&_nc_ht=scontent.fcnx3-1.fna&_nc_gid=TgjUhWFEDJ4equ1i-E5d8Q&oh=00_AYGP3gvxQX3l3PiYvng4nxvYsM79IMVx7FhvYjKtdehX_w&oe=67EEDA3D,https://www.facebook.com/profile.php?id=100064645271308,https://www.kongpanphandon.go.th/myhome,กุมภวาปี,อุดรธานี,1,ในเขตเทศบาล,41,964,เทศบาลตำบลกงพานพันดอน,เทศบาลตำบล,411964,6,ตะวันออกเฉียงเหนือ,2,พันดอน,,,,70,52273.41878,55816027.69,{B9A51101-3796-4C17-8F52-7AF044B77BBB},
16,เทศบาลตำบลกงรถ,,https://scontent.fcnx3-1.fna.fbcdn.net/v/t39.30808-6/339320181_931879678234591_7466361589011361180_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=-Zl9OWdXDlMQ7kNvgEy3HVV&_nc_oc=Adl1-AD2xao_IC-uSRPbf1yMHwC4QKU8l3_aFzrmQlcWxNxe-BzTbCMIsq12_ONi2I8&_nc_zt=23&_nc_ht=scontent.fcnx3-1.fna&_nc_gid=DqRRoaZbz0SpltIvsmQMow&oh=00_AYELJz45w3R_B93Q_9YVZlhCKc9L-4uXbhGgNVOeyKZS3w&oe=67EEAAB7,https://www.facebook.com/p/%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%95%E0%B8%B3%E0%B8%9A%E0%B8%A5%E0%B8%81%E0%B8%87%E0%B8%A3%E0%B8%96-100091814844001/,https://www.kongrod.go.th/,ห้วยแถลง,นครราชสีมา,1,ในเขตเทศบาล,30,911,เทศบาลตำบลกงรถ,เทศบาลตำบล,301911,6,ตะวันออกเฉียงเหนือ,7,กงรถ,,,,2287,41655.13208,49393287.16,{737FEAA8-0C69-4CBF-8BCE-6F47E1EB7471},
2,เทศบาลตำบลกงหรา,,https://map.longdo.com/ws/image/thumbnail?id=A10261298,https://www.facebook.com/profile.php?id=100010055282384,https://www.konghra.go.th/index.php,กงหรา,พัทลุง,1,ในเขตเทศบาล,93,963,เทศบาลตำบลกงหรา,เทศบาลตำบล,931963,3,ใต้,1,กงหรา,,,,2349,39755.0451,52675049.29,{8B33BB2F-9E26-4261-A540-8EAD666C466A},
2,เทศบาลตำบลกบินทร์,,https://scontent.fcnx3-1.fna.fbcdn.net/v/t39.30808-6/273028436_245176241132552_2651825588582260944_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=pMj85l1N4XIQ7kNvgFRgsy2&_nc_oc=AdlQgms1O5yXX1YsvHtFljUUyBbcO5bojS7DEzvp9pv29gmzW5vWXlhzWQlq9SeQFjQ&_nc_zt=23&_nc_ht=scontent.fcnx3-1.fna&_nc_gid=W8N9Xh6ia9IFnmLjFClk-g&oh=00_AYES4jDBb7a3YLjr2Q02H-atKseGmr3bvO0Wk3IN0i-7bQ&oe=67EEBE89,https://www.facebook.com/profile.php?id=100069205329919,https://www.kabin.go.th/home,กบินทร์บุรี,ปราจีนบุรี,1,ในเขตเทศบาล,25,998,เทศบาลตำบลกบินทร์,เทศบาลตำบล,251998,5,ตะวันออก,1,กบินทร์,,,,1295,9868.020999,3660393.355,{D30D47B5-FB51-42B9-B4CE-99A17BD7B308},
